epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_f1_macro,val_roc_auc,lr,epoch_sec
1,0.37173,0.7357,0.5994,0.9707,0.7412,0.7356,0.9272,0.0002949,510.8
2,0.20844,0.8897,0.8621,0.8537,0.8578,0.8839,0.9455,0.0002799,609.0
3,0.1503,0.8232,0.709,0.9268,0.8034,0.8214,0.9408,0.0002561,483.5
4,0.12184,0.8802,0.8198,0.8878,0.8525,0.8758,0.9492,0.000225,450.7
5,0.06049,0.8764,0.8646,0.8098,0.8363,0.8685,0.9291,0.0001888,581.7
6,0.04772,0.884,0.8789,0.8146,0.8456,0.8764,0.946,0.00015,559.8
7,0.02587,0.8916,0.9157,0.7951,0.8512,0.883,0.9414,0.0001112,463.7
