epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_f1_macro,val_roc_auc,lr,epoch_sec
1,0.37173,0.7357,0.5994,0.9707,0.7412,0.7356,0.9272,0.0002886,436.5
2,0.20551,0.8878,0.8411,0.878,0.8592,0.883,0.9438,0.0002561,441.1
3,0.14411,0.8213,0.7033,0.9366,0.8033,0.8198,0.9508,0.0002074,424.8
4,0.10297,0.8954,0.8606,0.8732,0.8668,0.8904,0.9551,0.00015,596.9
5,0.04913,0.8498,0.7625,0.8927,0.8225,0.8462,0.9526,9.26e-05,530.9
6,0.02739,0.9163,0.9128,0.8683,0.89,0.9113,0.9594,4.39e-05,528.4
7,0.01052,0.9221,0.9316,0.8634,0.8962,0.9169,0.9589,1.14e-05,509.3
8,0.01064,0.9202,0.9179,0.8732,0.895,0.9153,0.9602,0.0,491.4
